playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,
82,Low,Low,High,Low,Low,High,High,Low,High,High,Low,High,High,Low,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,Low,High,Low,Low,
83,High,High,High,High,High,High,High,High,High,Low,High,High,High,Low,High,Low,High,High,High,High,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,
84,Low,High,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,High,High,High,High,Low,Low,Low,High,High,Low,High,High,
87,High,Low,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,Low,High,High,High,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,High,High,Low,Low,High,Low,Low,
88,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,High,High,High,Low,High,High,Low,High,High,Low,High,High,Low,High,Low,High,Low,High,High,Low,Low,Low,Low,
91,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,Low,High,High,Low,High,
100,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,High,Low,High,Low,High,High,Low,High,High,Low,Low,High,High,Low,Low,Low,Low,High,High,Low,Low,
102,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,High,Low,Low,High,High,Low,High,High,High,Low,High,High,Low,Low,High,Low,High,High,Low,High,High,Low,High,Low,Low,
103,Low,High,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,High,Low,Low,Low,Low,High,High,High,Low,Low,
107,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,Low,High,High,Low,High,High,Low,Low,High,High,Low,High,Low,Low,Low,High,Low,Low,
109,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,High,High,Low,High,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,Low,Low,
110,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,High,High,Low,Low,High,Low,High,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,Low,Low,High,
111,Low,Low,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,Low,High,High,Low,High,High,Low,High,High,Low,High,Low,Low,
112,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,High,High,High,High,Low,High,Low,High,Low,Low,High,High,High,High,Low,High,High,Low,Low,High,High,High,Low,
113,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,Low,High,Low,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,High,Low,High,High,Low,Low,
114,Low,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,Low,High,High,High,High,High,High,High,Low,High,High,High,High,High,Low,Low,
116,High,High,Low,High,High,High,High,High,Low,Low,High,High,Low,Low,High,High,Low,High,Low,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,High,High,High,Low,
117,High,High,High,High,High,High,High,High,Low,Low,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,Low,Low,High,Low,Low,Low,High,High,High,High,Low,High,Low,Low,
118,Low,Low,High,High,High,High,Low,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,High,Low,High,High,Low,High,High,Low,Low,Low,Low,Low,High,High,Low,High,Low,High,
119,High,High,High,High,High,High,High,Low,High,Low,High,High,High,Low,Low,Low,Low,High,High,Low,High,Low,Low,Low,High,High,Low,Low,Low,High,High,High,Low,Low,Low,High,Low,Low,
120,High,Low,High,High,Low,High,High,High,Low,Low,Low,High,High,High,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,
124,High,High,Low,Low,High,Low,Low,Low,High,High,Low,High,Low,High,High,Low,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,Low,Low,High,Low,High,Low,Low,Low,
127,Low,Low,High,High,High,Low,High,Low,Low,Low,High,Low,High,Low,High,High,Low,High,Low,High,Low,High,High,High,Low,High,Low,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,
129,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,High,Low,High,High,Low,High,Low,High,High,Low,High,High,Low,Low,
132,High,High,Low,Low,High,High,High,High,High,Low,High,High,High,Low,High,Low,Low,High,Low,Low,Low,Low,High,High,Low,High,High,High,Low,High,High,High,Low,Low,Low,High,Low,Low,
133,Low,High,Low,Low,High,Low,High,High,High,High,High,High,High,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,High,High,High,Low,Low,Low,High,High,Low,High,High,Low,Low,
134,High,Low,High,High,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,Low,High,High,High,High,Low,Low,
135,Low,High,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,High,High,Low,Low,Low,Low,Low,Low,High,Low,High,Low,High,Low,Low,High,High,Low,Low,High,High,High,
136,Low,Low,Low,High,Low,Low,High,High,High,High,High,High,High,Low,High,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,Low,Low,
141,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,Low,High,Low,Low,High,Low,High,High,High,High,High,Low,High,High,Low,
142,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,High,Low,Low,Low,High,High,Low,High,High,High,High,Low,Low,High,High,High,High,High,Low,Low,High,High,High,Low,Low,Low,
143,High,High,High,High,High,High,High,Low,High,High,High,High,High,Low,High,Low,High,High,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,Low,High,High,Low,Low,
144,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,High,High,High,Low,Low,High,Low,High,High,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,
145,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,Low,High,Low,Low,High,High,High,Low,High,Low,High,High,High,High,Low,Low,High,Low,High,
146,Low,Low,Low,Low,High,Low,High,High,High,Low,High,High,High,High,High,Low,High,High,Low,Low,High,Low,Low,Low,High,High,High,Low,Low,Low,Low,High,High,Low,Low,High,Low,Low,
147,High,High,High,High,Low,High,High,Low,Low,Low,Low,High,High,Low,Low,Low,High,High,High,High,High,High,High,High,Low,High,Low,Low,Low,High,High,Low,High,High,Low,High,Low,High,
148,Low,Low,Low,Low,High,Low,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,High,Low,Low,
149,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,Low,High,High,Low,High,High,High,Low,High,High,Low,Low,High,High,High,High,Low,Low,
150,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,
151,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Low,High,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,Low,High,
153,High,Low,High,High,High,High,High,Low,Low,Low,Low,High,High,Low,Low,Low,High,High,High,High,Low,High,High,Low,Low,High,High,Low,Low,Low,High,Low,High,High,Low,High,Low,Low,
156,High,High,High,High,High,High,High,High,Low,Low,High,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,Low,Low,High,High,Low,High,High,Low,High,High,Low,High,Low,High,
157,High,Low,Low,High,Low,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,Low,Low,
158,High,Low,Low,High,Low,High,Low,Low,High,Low,Low,High,High,Low,Low,High,Low,High,Low,High,Low,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,High,Low,Low,High,High,Low,
164,Low,High,High,Low,Low,High,High,High,Low,High,High,Low,Low,Low,Low,Low,Low,High,High,High,Low,High,High,Low,High,Low,High,Low,High,High,Low,Low,Low,Low,High,High,Low,High,
165,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,
166,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Low,Low,Low,High,High,High,High,High,High,Low,High,High,Low,High,High,Low,Low,
167,Low,High,Low,Low,Low,Low,High,Low,High,Low,High,High,Low,Low,Low,High,High,High,High,High,High,Low,High,Low,High,Low,Low,Low,High,High,Low,Low,Low,High,Low,High,Low,Low,
168,High,Low,High,Low,High,Low,High,Low,High,High,High,High,High,Low,High,Low,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,Low,High,High,High,High,High,Low,Low,
