playerId,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,O6,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C,Internal,PowerfulOthers,Chance,
146,Low,Low,Medium,Medium,Medium,Medium,High,Medium,High,Low,Medium,High,High,High,High,Medium,High,Medium,Low,Low,High,Medium,Low,Low,Medium,High,Medium,Low,Medium,Medium,Low,High,High,Low,Medium,High,Low,Medium,
147,High,High,High,High,Medium,High,Medium,Medium,Low,Low,Low,High,High,Low,Medium,Medium,High,High,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,High,High,Low,Medium,High,Medium,Medium,Medium,Medium,
148,Low,Low,Low,Low,Medium,Low,High,Low,High,High,Medium,Medium,High,High,High,High,High,High,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Low,High,Low,Medium,High,Medium,Medium,High,Medium,Medium,
149,Medium,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Medium,High,Low,Medium,High,Low,Low,High,High,High,Medium,Medium,Medium,
150,Medium,Medium,High,High,High,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Medium,Medium,High,Medium,Medium,High,Medium,Low,Low,Medium,Medium,Low,Medium,High,Low,Low,Medium,Low,Medium,Medium,Medium,
151,Low,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,High,Low,High,Low,Low,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,High,Medium,Low,Low,Low,Medium,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,
153,High,Medium,High,High,High,High,Medium,Low,Low,Low,Low,High,High,Medium,Low,Low,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Low,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,
156,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,High,High,Medium,High,High,Medium,Low,Medium,Medium,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,
157,Medium,Low,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,High,High,High,High,High,Medium,Medium,High,High,Medium,Medium,High,High,High,High,High,Medium,High,High,High,High,High,Low,Low,
158,Medium,Medium,Medium,Medium,Low,High,Low,Low,High,Low,Low,Medium,High,Medium,Low,High,Medium,High,Low,Medium,Low,Medium,Low,Low,Low,Medium,Low,Low,Medium,Low,Medium,Low,Medium,Low,Low,Medium,Medium,Medium,
164,Low,High,Medium,Medium,Low,High,Medium,High,Medium,High,Medium,Low,Medium,Low,Low,Low,Low,High,High,Medium,Medium,Medium,Medium,Low,High,Low,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,
165,Low,Medium,Medium,Medium,High,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,
166,Low,Medium,Low,Low,Medium,Low,High,High,High,High,High,High,High,High,High,Medium,High,High,High,Low,High,Medium,Low,Medium,High,Medium,High,High,High,Medium,Low,High,High,Medium,High,Medium,Medium,Low,
167,Low,High,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,
168,Medium,Low,Medium,Medium,High,Medium,Medium,Low,High,Medium,High,High,High,Medium,Medium,Medium,High,High,High,Medium,Low,High,Medium,Low,High,High,High,High,High,High,Medium,High,High,Medium,High,Medium,Low,Medium,
